feature,coefficient
lag_1,532.6658916266883
month,56.26854786394621
day_of_year,-39.80696068778161
lag_2,-27.390549487988174
roll_mean_7,-18.04518808508579
quarter,-16.675219480843086
roll_mean_30,13.914162303797594
roll_std_30,-5.508404419263177
lag_30,-3.952542175655978
roll_std_7,-2.910491177718176
lag_7,0.4701614050873504
