model,rmse,mae,r2,best_alpha,cv_rmse
linear_regression,86.53788794578442,55.22788821898361,0.9563935410174643,,
ridge_regression,86.67377280781604,55.34699190256066,0.9562564886815401,1.0,138.34038379848846
